city,lat,temp,humidity,clouds,wind_speed
busselton,-33.65,62.6,43,0,5.41
port alfred,-33.59,64,82,0,4
svetlogorsk,52.63,74.03,80,53,8.37
hermanus,-34.42,57,94,23,7
hilo,19.73,70.86,73,20,3.36
east london,-33.02,64.4,52,1,13.87
bridlington,54.08,56.71,93,100,8.05
george,-33.96,55.4,82,0,3.36
bredasdorp,-34.53,59,77,1,5.17
kyaikkami,16.08,84.99,76,67,10.74
karlskoga,59.33,68,60,2,11.41
kavieng,-2.57,84.49,69,6,2.75
punta arenas,-53.15,33.39,88,88,10.29
tasiilaq,65.61,42.8,81,100,10.29
ushuaia,-54.8,39.2,91,75,4.7
kumluca,36.37,81.05,47,0,5.3
lompoc,34.64,54.45,93,90,4.7
lebu,-37.62,47.75,85,0,7.2
beyneu,45.32,90.61,15,95,14.27
roma,43.21,63.59,93,40,4.7
nikolskoye,59.7,63.18,51,99,6.71
jamestown,42.1,63.48,100,1,4.7
airai,-8.93,69.57,73,15,4.56
vaini,-21.2,75.2,94,75,5.82
tiksi,71.69,65.91,37,1,10
morro bay,35.37,56.53,95,7,1.23
shingu,33.73,75.2,73,75,5.82
mys shmidta,22.08,75.22,78,90,13.87
mutsamudu,73.51,36.77,95,100,18.37
kapaa,-33.92,64.4,68,7,16.11
dikson,-42.88,49.41,93,75,2.77
port elizabeth,71.97,67.64,46,83,13.94
hobart,41.37,64.35,100,1,1.99
khatanga,-46.6,39,83,1,3
bethel,-33.7,61.9,98,100,8.5
bluff,40.6,58.68,100,90,8.05
chuy,-46.28,43,72,2,1.99
fortuna,-46.19,39,83,0,3
kaitangata,0.53,84.24,72,9,11.12
mataura,64.84,57.9,100,75,1.01
thinadhoo,-20.19,61.57,53,0,2.66
fairbanks,-20.1,71.85,55,31,9.15
chipinge,42.6,67.17,76,0,1.66
charters towers,-7.61,68.32,54,0,2.24
taolanaro,72.79,38.37,77,0,5.88
albany,-21.21,73.4,64,100,12.75
uige,-35.1,55.99,3,100,4
upernavik,35.73,74.64,73,40,11.41
avarua,69.49,57.2,50,75,20.13
